instrument,expectancy_1d,trades_1d,wins_1d,losses_1d,flats_1d,sum_r_1d,winrate_1d,expectancy_timeframe,trades_timeframe,wins_timeframe,losses_timeframe,flats_timeframe,sum_r_timeframe,winrate_timeframe
WOOD,-0.06260771956706053,810,308,502,0,-50.71225284931903,38.02469135802469,0.12007350258579369,387,176,211,0,46.46844550070216,45.47803617571059
KO,0.00846584229385979,991,401,590,0,8.389649713215052,40.46417759838547,0.11920353383764275,70,31,39,0,8.344247368634992,44.285714285714285
MLP.WA,0.07528049221860388,921,283,330,308,69.33333333333417,30.727470141150924,0.11849710982658998,346,63,45,308,41.000000000000135,18.20809248554913
ENA.WA,0.06815074819800422,425,180,245,0,28.964067984151797,42.35294117647059,0.11514716596921953,72,32,40,0,8.290595949783807,44.44444444444444
TXT.WA,-0.11432865607882475,307,110,197,0,-35.0988974161992,35.83061889250814,0.10968661507752762,78,34,44,0,8.555555976047154,43.58974358974359
MRC.WA,-0.03430035411745314,307,117,190,0,-10.530208714058116,38.11074918566775,0.10884353741496669,98,45,52,0,10.666666666666735,45.91836734693878
ZW=F,-0.009346928284873908,1141,465,676,0,-10.66484517304113,40.753724802804555,0.10555555555555489,62,28,34,0,6.544444444444403,45.16129032258064
SAP.DE,-0.04712508727850733,800,308,492,0,-37.700069822805865,38.5,0.10463067703163026,88,39,49,0,9.207499578783462,44.31818181818182
TPE.WA,0.015658195737352238,397,160,237,0,6.216303707728839,40.302267002518896,0.10132835357695653,83,36,47,0,8.410253346887393,43.373493975903614
CANE,0.16552757849918748,695,328,367,0,115.0416670569353,47.19424460431655,0.09999999999999912,200,89,110,0,19.999999999999822,44.5
MC.PA,0.06344910225436792,696,298,398,0,44.16057516904007,42.81609195402299,0.09690750756846457,81,35,46,0,7.849508113045631,43.20987654320987
EEM,0.00027434842249668076,1215,493,721,1,0.33333333333346715,40.5761316872428,0.09480205850054836,141,60,81,1,13.36709024857732,42.5531914893617
EWH,-0.025720164609053273,1620,640,979,1,-41.6666666666663,39.50617283950617,0.08944285051059873,150,64,86,1,13.41642757658981,42.66666666666667
KC=F,-0.0206112295664535,938,375,562,1,-19.333333333333382,39.97867803837953,0.08860382580314705,47,21,26,1,4.164379812747911,44.680851063829785
ENG.WA,-0.04411567585879419,321,124,197,0,-14.161131950672935,38.62928348909657,0.08820348005428867,88,39,49,0,7.761906244777403,44.31818181818182
^FTSE,0.003086268515058379,1168,470,698,0,3.6047616255881865,40.23972602739726,0.08606883499175917,85,35,50,0,7.31585097429953,41.17647058823529
EWT,-0.02041722148246765,1502,599,902,1,-30.66666666666641,39.88015978695073,0.08464422036677055,144,60,84,1,12.18876773281496,41.66666666666667
HD,0.028465390607417356,1058,433,625,0,30.116383262647563,40.92627599243856,0.08395469649757588,98,42,56,0,8.227560256762436,42.857142857142854
SHOP,-0.03320590854165488,322,125,197,0,-10.692302550412872,38.81987577639752,0.08252583954420976,116,50,66,0,9.572997387128332,43.103448275862064
NKE,-0.0006238219572853936,1182,472,710,0,-0.7373575535113353,39.93231810490694,0.07801418439716264,94,39,54,0,7.333333333333288,41.48936170212766
PALL,0.024390243902439098,779,325,453,1,19.000000000000057,41.7201540436457,0.07643410399533743,145,62,83,1,11.082945079323927,42.758620689655174
SPY,0.017454916071756345,1011,413,598,0,17.646920148545664,40.85064292779426,0.0742841361667497,120,52,68,0,8.914096340009964,43.333333333333336
XLV,0.01013088519950739,742,301,441,0,7.517116818034484,40.56603773584906,0.06898193207701817,86,36,50,0,5.932446158623562,41.86046511627907
^STOXX50E,-0.049087083942905875,568,217,351,0,-27.881463679570537,38.20422535211267,0.06887036923149023,77,32,45,0,5.303018430824748,41.55844155844156
BND,-0.0030692815932896527,625,245,380,0,-1.918300995806033,39.2,0.061365812746522905,103,42,61,0,6.320678712891859,40.77669902912621
IEI,0.025590375629140863,570,229,341,0,14.586514108610292,40.17543859649123,0.058041687058981946,92,37,55,0,5.339835209426339,40.21739130434783
XLU,-0.11077905151994101,632,226,406,0,-70.01236056060272,35.75949367088608,0.057743371186561095,106,45,61,0,6.120797345775476,42.45283018867924
EWI,0.0037537537537537715,1776,725,1050,1,6.666666666666698,40.822072072072075,0.05730373159691456,146,61,85,1,8.366344813149526,41.78082191780822
ROG.SW,0.02943442706451546,916,380,536,0,26.961935191096163,41.48471615720524,0.056433795023375345,74,30,44,0,4.176100831729776,40.54054054054054
VOO,0.03281118068311222,528,219,309,0,17.324303400683252,41.47727272727273,0.05444387692969298,109,46,63,0,5.934382585336534,42.201834862385326
CT=F,0.086080237178196,921,404,517,0,79.27989844111852,43.865363735070574,0.05210387823836276,69,30,39,0,3.5951675984470306,43.47826086956522
^RUT,0.007102993404363374,1314,529,784,1,9.333333333333472,40.25875190258752,0.051803600186575136,127,52,75,1,6.579057223695043,40.94488188976378
KRBN,0.08644612954510889,319,141,178,0,27.576315324889734,44.20062695924764,0.050954789980114136,158,67,91,0,8.050856816858033,42.405063291139236
PGE.WA,-0.07643797965226454,370,137,233,0,-28.28205247133788,37.027027027027025,0.04895517337577866,92,39,53,0,4.503875950571637,42.391304347826086
GC=F,0.06230607646885507,1425,575,760,90,88.78615896811847,40.35087719298245,0.04764328530236271,61,25,36,90,2.9062404034441256,40.98360655737705
BNB-USD,0.043403290849535876,272,110,162,0,11.805695111073758,40.44117647058824,0.045440198640212016,94,38,56,0,4.27137867217993,40.42553191489361
JSW.WA,0.015337423312883547,326,130,195,1,5.000000000000036,39.87730061349693,0.044444444444445376,75,30,44,1,3.333333333333403,40.0
LTC-USD,0.09582155189158297,303,130,173,0,29.03393022314964,42.9042904290429,0.04269366255971229,110,47,63,0,4.696302881568352,42.72727272727273
BHP,0.0022829019323413104,2570,1053,1517,0,5.867057966117168,40.97276264591439,0.04099762542811247,145,60,85,0,5.944655687076309,41.37931034482759
DNP.WA,0.021798115822216628,200,81,119,0,4.359623164443326,40.5,0.04039174412161544,88,38,50,0,3.554473482702159,43.18181818181818
ADA-USD,0.16199561031498008,234,104,130,0,37.90697281370534,44.44444444444444,0.03985659322558955,99,40,59,0,3.9458027293333653,40.4040404040404
^DJI,0.005579137968660536,913,366,547,0,5.093752965387069,40.08762322015334,0.036313242368197336,86,35,51,0,3.1229388436649708,40.69767441860465
ATT.WA,-0.014551206681505027,475,188,287,0,-6.911823173714888,39.578947368421055,0.03572008374759328,78,32,46,0,2.7861665323122757,41.02564102564102
SLV,-0.006612552599225259,891,359,532,0,-5.891784365909706,40.29180695847362,0.0320814736845757,144,59,85,0,4.619732210578901,40.97222222222222
MBK.WA,-0.010157733446896165,718,285,433,0,-7.293252614871446,39.693593314763234,0.028498598207121358,87,37,50,0,2.4793780440195583,42.5287356321839
SAP,0.036308190787906376,1484,592,815,77,53.88135512925306,39.892183288409704,0.026375511649687322,120,50,70,77,3.1650613979624787,41.66666666666667
PXM.WA,461.64079374561885,901,392,465,44,415938.3551648026,43.5072142064373,0.014705882352941298,68,26,41,44,1.0000000000000082,38.23529411764706
EWQ,0.023236504273174252,1647,687,960,0,38.27052253791799,41.712204007285976,0.014548647788074229,133,52,81,0,1.9349701558138723,39.097744360902254
DBO,0.021512219510340155,702,292,410,0,15.10157809625879,41.5954415954416,0.014019204133399691,153,63,90,0,2.1449382324101527,41.17647058823529
STP.WA,-0.036803271838885515,817,315,502,0,-30.068273092369466,38.555691554467565,0.004944845949030386,239,100,139,0,1.1818181818182623,41.84100418410041
^GSPC,-0.017665797856935804,1151,451,699,1,-20.333333333333112,39.18331885317116,-0.0002583647406326147,119,48,71,1,-0.03074540413528115,40.33613445378151
PKO.WA,-0.007900557486457849,473,188,285,0,-3.7369636910945623,39.74630021141649,-0.00035147997504865057,94,37,57,0,-0.03303911765457315,39.361702127659576
PEP,0.016535799859355004,882,359,523,0,14.584575475951112,40.702947845804985,-0.000481731370957536,94,37,57,0,-0.04528274887000838,39.361702127659576
VZ,0.03229685979237935,972,404,568,0,31.392547718192727,41.56378600823045,-0.0014919608919238747,92,37,55,0,-0.13726040205699647,40.21739130434783
XLY,0.03196939671632166,848,351,497,0,27.11004841544077,41.39150943396226,-0.0015954825854942998,115,46,69,0,-0.1834804973318445,40.0
KTY.WA,-0.0604551314797246,772,295,477,0,-46.671361502347395,38.212435233160626,-0.004245108896270492,84,34,50,0,-0.3565891472867213,40.476190476190474
VEA,0.0061302681992339856,870,353,516,1,5.3333333333335675,40.57471264367816,-0.0071293185818399,121,46,75,1,-0.8626475484026279,38.01652892561984
BZ=F,-0.03634864127203973,446,169,277,0,-16.21149400732972,37.89237668161435,-0.008237913249869413,47,19,28,0,-0.3871819227438624,40.42553191489361
VT,-0.022646235879979926,665,260,405,0,-15.059746860186651,39.097744360902254,-0.010115880055250954,123,48,75,0,-1.2442532467958674,39.02439024390244
CRM,-0.00040357596278474617,625,253,372,0,-0.25223497674046635,40.48,-0.013265329546265216,95,37,58,0,-1.2602063068951956,38.94736842105263
IEMG,-0.02276422764227653,820,325,494,1,-18.666666666666753,39.63414634146341,-0.015027472451767923,146,56,90,1,-2.1940109779581167,38.35616438356164
